,funding_total_usd,funding_rounds,time_between_first_last_funding,days_in_business,country_code_Other,country_code_USA,Industry_Group_Biotechnology,Industry_Group_Commerce and Shopping,Industry_Group_Community and Lifestyle,Industry_Group_Health Care,Industry_Group_Information Technology,Industry_Group_Internet Services,Industry_Group_Other,Industry_Group_Software
3879,0.8333333333333334,1.0,2.3838028169014085,1.5237613751263903,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3880,-0.021875,0.0,0.0,2.5854398382204247,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3881,8.125,2.0,0.34683098591549294,-0.1845298281092012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3882,0.8333333333333334,0.0,0.0,0.32204246713852375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3883,2.533333333333333,1.0,1.7711267605633803,1.846814964610718,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3884,0.020833333333333332,1.0,1.5352112676056338,1.2927199191102123,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3885,-0.17916666666666667,0.0,0.0,0.8468149646107179,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3886,-0.041666666666666664,1.0,0.920774647887324,-0.44742163801820023,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3887,-0.052083333333333336,0.0,0.0,-0.8523761375126391,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3888,0.7104166666666667,0.0,0.0,0.923154701718908,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3889,-0.20822916666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3890,-0.1875,0.0,0.0,0.3695652173913043,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3891,0.052083333333333336,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3892,-0.20416666666666666,0.0,0.0,-0.5540950455005056,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3893,1.875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3894,-0.15,0.0,0.0,-0.39838220424671383,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3895,-0.20796875,0.0,0.0,-0.8149646107178968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3896,-0.20416666666666666,0.0,0.0,-0.48129423660262893,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3897,0.052083333333333336,0.0,0.0,0.7229524772497472,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3898,0.375,1.0,0.3221830985915493,-0.3690596562184024,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3899,-0.10416666666666667,0.0,0.0,-0.5540950455005056,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3900,0.057291666666666664,1.0,0.13380281690140844,0.3538928210313448,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3901,-0.036458333333333336,0.0,0.0,-0.5505561172901922,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3902,-0.15625,0.0,0.0,-0.1845298281092012,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3903,2.502656979166667,8.0,5.142605633802817,0.923154701718908,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3904,0.625,0.0,0.0,3.3240647118301316,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3905,-0.0643778125,0.0,0.0,-0.042467138523761376,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3906,0.20833333333333334,1.0,1.2623239436619718,0.1845298281092012,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3907,-0.15166229166666667,1.0,2.867957746478873,0.23104145601617795,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
