,funding_total_usd,country_code,funding_rounds,time_between_first_last_funding,days_in_business,status,Industry_Group_Biotechnology,Industry_Group_Commerce and Shopping,Industry_Group_Community and Lifestyle,Industry_Group_Health Care,Industry_Group_Information Technology,Industry_Group_Internet Services,Industry_Group_Other,Industry_Group_Software
115,2274716,Other,1,0,1277,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,25654560,USA,5,1259,3042,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,17800000,USA,1,0,6572,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,5000000,Other,1,0,5842,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,1000000,USA,2,427,4015,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,7650000,Other,1,0,2920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
121,1543920,Other,1,0,2189,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,4100000,Other,2,485,3104,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
123,1623640,Other,1,0,1034,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
124,16000000,USA,1,0,1459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,73047,Other,2,213,1479,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,2203975,Other,1,0,3650,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,6700000,Other,2,609,2920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,1573976,Other,2,457,6207,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
129,25000,USA,1,0,728,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
130,1629549,Other,1,0,1093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,1600000,USA,1,0,2189,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,3750000,Other,2,365,3591,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
133,1719583,Other,2,1074,1612,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,75000,Other,1,0,1084,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135,133620,Other,1,0,2920,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,500000,USA,2,343,2016,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
